Geneid,sorted.step1.CH8_hisat2_B20_C.bam,sorted.step1.CH36_hisat2_B20_C.bam,sorted.step1.CH64_hisat2_B20_C.bam,sorted.step1.CH5_hisat2_B20_EAB.bam,sorted.step1.CH33_hisat2_B20_EAB.bam,sorted.step1.CH125_hisat2_B20_EAB.bam
FRAEX38873_v2_000162420,72,162,104,50,35,17
FRAEX38873_v2_000162430,468,625,697,311,205,273
FRAEX38873_v2_000162440,31,64,242,198,126,140
FRAEX38873_v2_000162450,2,0,0,3,0,0
FRAEX38873_v2_000162460,4,0,46,37,8,182
FRAEX38873_v2_000162470,472,546,545,407,258,400
FRAEX38873_v2_000162480,135,17,57,20,32,20
FRAEX38873_v2_000162490,15,4,63,10,3,29
FRAEX38873_v2_000162500,676,122,1967,601,66,483
FRAEX38873_v2_000162510,0,0,3,0,46,53
FRAEX38873_v2_000162520,38,0,4,50,80,159
FRAEX38873_v2_000162530,515,592,768,1059,1161,1481
FRAEX38873_v2_000162540,9,10,23,40,39,50
FRAEX38873_v2_000162550,32,29,98,15,2,43
FRAEX38873_v2_000162560,805,945,560,238,966,372
FRAEX38873_v2_000162570,180,114,55,234,309,295
FRAEX38873_v2_000162580,96,136,232,797,848,384
FRAEX38873_v2_000162590,708,1857,1681,988,787,527
FRAEX38873_v2_000162600,151,46,139,83,52,27
FRAEX38873_v2_000162610,9,4,67,44,8,18
FRAEX38873_v2_000162620,203,88,202,140,251,181
FRAEX38873_v2_000162630,301,380,592,1273,1625,1422
FRAEX38873_v2_000162640,345,116,27,47,273,37
FRAEX38873_v2_000162650,14011,17590,20174,14317,6714,9249
FRAEX38873_v2_000162660,31,4,39,57,68,93
FRAEX38873_v2_000162670,789,802,1367,1663,1066,1492
FRAEX38873_v2_000162680,936,723,876,616,517,428
FRAEX38873_v2_000162690,0,0,0,0,0,0
FRAEX38873_v2_000162700,22,27,58,234,70,30
FRAEX38873_v2_000162710,0,0,0,0,0,0
FRAEX38873_v2_000217040,3,14,4,5,15,2
FRAEX38873_v2_000217050,373,188,536,456,147,439
FRAEX38873_v2_000217060,0,0,0,0,0,0
FRAEX38873_v2_000217070,179,76,44,152,175,109
FRAEX38873_v2_000217080,0,0,6,0,0,0
FRAEX38873_v2_000217090,1534,1875,2087,1726,2282,1393
FRAEX38873_v2_000217100,83,36,42,90,105,84
FRAEX38873_v2_000217110,8,162,290,317,266,201
FRAEX38873_v2_000217120,309,428,365,405,378,422
FRAEX38873_v2_000217130,509,445,568,651,804,775
FRAEX38873_v2_000217140,418,517,622,714,374,452
FRAEX38873_v2_000217150,605,388,615,545,324,323
FRAEX38873_v2_000217160,398,362,445,337,374,316
FRAEX38873_v2_000217170,47,33,13,49,20,38
FRAEX38873_v2_000217180,32,29,23,11,93,26
FRAEX38873_v2_000217190,275,467,462,450,664,882
FRAEX38873_v2_000217200,0,0,0,0,0,0
FRAEX38873_v2_000217210,731,858,886,890,868,897
FRAEX38873_v2_000217220,25,67,55,234,21,64
FRAEX38873_v2_000217230,16,26,27,36,33,37
FRAEX38873_v2_000401130,4,19,3,1,2,0
FRAEX38873_v2_000401140,0,0,0,0,1,0
FRAEX38873_v2_000401150,119,203,133,136,390,153
FRAEX38873_v2_000401160,289,352,136,214,799,237
FRAEX38873_v2_000401170,10,26,13,9,14,23
FRAEX38873_v2_000401180,0,0,0,0,0,0
FRAEX38873_v2_000401190,39,80,29,33,79,37
FRAEX38873_v2_000401200,170,603,103,156,354,174
FRAEX38873_v2_000401210,0,4,1,0,1,2
FRAEX38873_v2_000401220,0,4,0,0,0,1
FRAEX38873_v2_000259040,190,159,161,289,301,424
FRAEX38873_v2_000259050,0,0,0,0,0,0
FRAEX38873_v2_000259060,391,250,451,419,208,291
FRAEX38873_v2_000259070,0,0,0,0,0,0
FRAEX38873_v2_000259080,0,0,0,0,0,0
FRAEX38873_v2_000259090,79,38,24,31,19,62
FRAEX38873_v2_000259100,298,719,749,2216,1767,832
FRAEX38873_v2_000259110,3,3,31,80,44,17
FRAEX38873_v2_000259120,0,0,0,0,0,0
FRAEX38873_v2_000259130,3,0,3,16,5,8
FRAEX38873_v2_000259140,0,0,0,0,1,0
FRAEX38873_v2_000259150,617,587,810,649,684,769
FRAEX38873_v2_000259160,169,282,166,287,450,123
FRAEX38873_v2_000259170,0,0,0,0,0,0
FRAEX38873_v2_000401230,0,0,0,0,0,2
FRAEX38873_v2_000401240,0,0,0,0,0,0
FRAEX38873_v2_000300100,1,3,1,0,0,0
FRAEX38873_v2_000300110,18,0,1,15,11,1
FRAEX38873_v2_000300120,2030,1181,1210,954,1459,1979
FRAEX38873_v2_000300140,70,121,98,86,46,60
FRAEX38873_v2_000300150,0,5,0,0,1,2
FRAEX38873_v2_000300160,199,117,260,192,168,198
FRAEX38873_v2_000300170,193,179,205,239,253,254
FRAEX38873_v2_000300180,0,0,0,0,0,0
FRAEX38873_v2_000300190,150,185,220,223,143,108
FRAEX38873_v2_000300200,54,28,48,50,57,33
FRAEX38873_v2_000300210,33,45,53,29,6,28
FRAEX38873_v2_000300220,3079,4614,5462,18335,22823,23835
FRAEX38873_v2_000300230,669,665,700,637,697,1062
FRAEX38873_v2_000300240,83,71,132,185,257,239
FRAEX38873_v2_000300250,159,168,175,217,166,197
FRAEX38873_v2_000300270,894,681,1461,674,344,776
FRAEX38873_v2_000300280,2898,4292,6585,4478,4774,5749
FRAEX38873_v2_000300290,6,0,0,0,16,5
FRAEX38873_v2_000300300,0,0,0,0,0,0
FRAEX38873_v2_000300310,778,191,701,257,88,126
FRAEX38873_v2_000300320,3,0,0,48,4,1
FRAEX38873_v2_000300330,534,157,10,78,168,62
FRAEX38873_v2_000300340,106,219,91,65,82,38
FRAEX38873_v2_000300350,121,189,172,257,237,429
FRAEX38873_v2_000300360,392,279,655,457,336,557
FRAEX38873_v2_000300370,65,124,296,595,51,230
FRAEX38873_v2_000300380,4044,3531,4429,5618,7454,9651
FRAEX38873_v2_000300390,679,711,594,684,680,700
FRAEX38873_v2_000300400,163,93,63,85,7,19
FRAEX38873_v2_000300410,141,147,262,98,0,26
FRAEX38873_v2_000300420,20,1,26,24,1,9
FRAEX38873_v2_000300430,2775,2321,2593,2188,1856,2056
FRAEX38873_v2_000300440,11351,25737,17236,35510,28936,3763
FRAEX38873_v2_000300450,235,422,265,427,517,349
FRAEX38873_v2_000300460,2455,2348,2106,3228,5367,3849
FRAEX38873_v2_000300470,0,4,0,0,0,0
FRAEX38873_v2_000300480,1858,1653,2096,2412,1705,2068
FRAEX38873_v2_000300490,311,477,548,438,417,533
FRAEX38873_v2_000300500,1202,1349,1574,1542,1745,1836
FRAEX38873_v2_000300510,1509,1368,1399,1047,623,968
FRAEX38873_v2_000300520,480,393,353,660,488,639
FRAEX38873_v2_000300530,0,0,0,0,1,112
FRAEX38873_v2_000300540,1334,1686,1993,2685,4584,5684
FRAEX38873_v2_000300550,29,32,102,80,8,61
FRAEX38873_v2_000328590,0,0,8,28,0,17
FRAEX38873_v2_000328610,2251,1643,1819,2957,1790,1618
FRAEX38873_v2_000328620,1218,2196,1399,1917,1544,1336
FRAEX38873_v2_000328630,3602,2687,4425,2926,1850,2574
FRAEX38873_v2_000328640,170,227,443,783,649,788
FRAEX38873_v2_000328650,412,586,535,430,257,424
FRAEX38873_v2_000328660,0,0,0,0,0,0
FRAEX38873_v2_000328670,6,7,0,0,43,84
FRAEX38873_v2_000401250,0,0,0,1,0,0
FRAEX38873_v2_000401260,0,0,0,0,0,0
FRAEX38873_v2_000401270,0,0,0,0,1,0
FRAEX38873_v2_000401280,0,0,0,0,0,0
FRAEX38873_v2_000401290,1,3,4,0,0,0
FRAEX38873_v2_000353960,72,107,62,195,143,53
FRAEX38873_v2_000353970,1120,1158,1641,1785,1354,1926
FRAEX38873_v2_000353980,26,45,121,145,105,19
FRAEX38873_v2_000353990,1497,845,470,606,168,428
FRAEX38873_v2_000354000,4,0,0,0,0,0
FRAEX38873_v2_000354010,191,124,152,173,169,203
FRAEX38873_v2_000354020,596,581,2794,1657,1716,3032
FRAEX38873_v2_000354030,839,1102,329,960,964,376
FRAEX38873_v2_000354040,499,479,727,851,974,946
FRAEX38873_v2_000354050,0,0,0,0,0,0
FRAEX38873_v2_000354060,22,27,13,30,60,37
FRAEX38873_v2_000354070,0,0,0,0,0,0
FRAEX38873_v2_000354080,120,303,229,284,131,190
FRAEX38873_v2_000354090,23,5,10,57,34,9
FRAEX38873_v2_000354100,623,609,597,701,1195,792
FRAEX38873_v2_000354110,184,195,235,192,143,128
FRAEX38873_v2_000354120,22,2,44,25,0,10
FRAEX38873_v2_000354130,734,951,1068,521,204,495
FRAEX38873_v2_000354140,60,19,43,64,137,58
FRAEX38873_v2_000401300,31,76,32,62,85,22
FRAEX38873_v2_000401310,11,82,51,26,38,27
FRAEX38873_v2_000401320,12,14,15,8,56,18
FRAEX38873_v2_000401330,4,12,0,1,11,5
FRAEX38873_v2_000380270,17,245,692,197,1,45
FRAEX38873_v2_000380280,0,0,0,0,0,0
FRAEX38873_v2_000380290,0,49,50,18,0,5
FRAEX38873_v2_000380300,2,5,4,35,28,19
FRAEX38873_v2_000380310,38,14,38,35,39,36
FRAEX38873_v2_000380320,13,3,6,46,57,45
FRAEX38873_v2_000380330,4743,4132,5248,3817,4940,3985
FRAEX38873_v2_000380340,0,0,0,0,0,0
FRAEX38873_v2_000380350,99,96,113,121,63,117
FRAEX38873_v2_000380360,4785,5305,6870,4566,2062,2506
FRAEX38873_v2_000380370,265,244,395,516,521,420
FRAEX38873_v2_000380380,892,393,788,661,514,617
FRAEX38873_v2_000380390,4035,3506,3437,4047,5392,4377
FRAEX38873_v2_000380400,3596,4844,7293,15336,14941,30712
FRAEX38873_v2_000380410,45,53,79,203,172,320
FRAEX38873_v2_000380430,2009,1896,2200,2234,1687,1530
FRAEX38873_v2_000380450,0,0,0,0,0,0
FRAEX38873_v2_000000910,244,233,322,267,340,373
FRAEX38873_v2_000000920,201,32,17,32,6,117
FRAEX38873_v2_000000930,916,783,811,982,1222,1747
FRAEX38873_v2_000000940,199,24,14,16,83,10
FRAEX38873_v2_000000950,5184,4460,5774,6293,8180,10118
FRAEX38873_v2_000000960,0,0,3,0,0,0
FRAEX38873_v2_000000970,0,0,2,0,0,0
FRAEX38873_v2_000000980,317,452,313,647,1142,894
FRAEX38873_v2_000000990,8,63,0,77,11,31
FRAEX38873_v2_000001000,0,0,11,0,0,0
FRAEX38873_v2_000001010,441,424,465,620,711,734
FRAEX38873_v2_000001020,114,99,57,100,86,61
FRAEX38873_v2_000001030,30,15,0,0,46,13
FRAEX38873_v2_000001040,99,105,92,112,146,144
