Geneid;sorted.step1.CH100_B8_C_hisat2.bam;sorted.step1.CH16_B8_C_hisat2.bam;sorted.step1.CH44_B8_C_hisat2.bam;sorted.step1.CH13_B8_EAB_hisat2.bam;sorted.step1.CH41_B8_EAB_hisat2.bam;sorted.step1.CH97_B8_EAB_hisat2.bam
FRAEX38873_v2_000300360;291;444;569;308;340;555
FRAEX38873_v2_000300370;145;206;226;770;1591;979
FRAEX38873_v2_000300380;4275;6041;5096;6828;5909;7042
FRAEX38873_v2_000300390;446;572;773;659;542;683
FRAEX38873_v2_000300400;84;64;73;37;22;9
FRAEX38873_v2_000300410;240;188;414;1;12;0
FRAEX38873_v2_000300420;10;50;66;0;4;2
FRAEX38873_v2_000300430;2796;2766;3420;1506;2204;2005
FRAEX38873_v2_000300440;5852;15659;9776;22164;58784;7745
FRAEX38873_v2_000300450;211;170;250;293;377;246
FRAEX38873_v2_000300460;2129;3032;3027;4727;5301;5158
FRAEX38873_v2_000300470;0;0;0;3;0;0
FRAEX38873_v2_000300480;1316;1236;2026;1511;1311;1839
FRAEX38873_v2_000300490;243;334;500;473;531;475
FRAEX38873_v2_000300500;1681;1460;1700;1479;1542;1877
FRAEX38873_v2_000300510;1814;1400;1892;610;896;807
FRAEX38873_v2_000300520;194;322;483;403;385;508
FRAEX38873_v2_000300530;0;0;0;36;0;142
FRAEX38873_v2_000300540;1545;1547;1689;3293;2950;3211
FRAEX38873_v2_000300550;69;116;54;0;14;43
FRAEX38873_v2_000328590;0;5;12;10;42;3
FRAEX38873_v2_000328610;857;1410;2569;1715;1388;1726
FRAEX38873_v2_000328620;4228;2322;1345;1885;4452;2399
FRAEX38873_v2_000328630;3230;2627;4056;1446;1721;2248
FRAEX38873_v2_000328640;249;452;353;2062;1125;1490
FRAEX38873_v2_000328650;473;242;357;168;334;362
FRAEX38873_v2_000328660;0;0;0;0;0;2
FRAEX38873_v2_000328670;13;0;12;148;14;709
FRAEX38873_v2_000401250;0;0;1;0;0;0
FRAEX38873_v2_000401260;0;0;0;0;0;0
FRAEX38873_v2_000401270;0;2;0;1;0;0
FRAEX38873_v2_000401280;0;0;0;0;0;0
FRAEX38873_v2_000401290;0;0;1;4;0;0
FRAEX38873_v2_000353960;100;186;193;573;270;510
FRAEX38873_v2_000353970;962;1193;1502;1810;1571;2052
FRAEX38873_v2_000353980;80;72;80;240;166;139
FRAEX38873_v2_000353990;580;868;826;2325;684;948
FRAEX38873_v2_000354000;0;0;0;0;0;0
FRAEX38873_v2_000354010;208;154;218;167;235;265
FRAEX38873_v2_000354020;880;1110;1424;1998;3169;3885
FRAEX38873_v2_000354030;1144;323;1170;979;494;662
